system:index,Fecha,Hora,Temperatura,.geo
121,2022-04-03,,20.120000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2022-04-04,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2022-04-04,,18.930000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2022-04-05,,18.370000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2022-04-05,,20.629999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2022-04-06,,10.269999999999982,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2022-04-06,,20.649999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2022-04-07,,15.529999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2022-04-07,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2022-04-08,,19.70999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2022-04-08,,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2022-04-09,,18.180000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2022-04-09,,11.410000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2022-04-10,,-2.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2022-04-10,,18.089999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2022-04-11,,19.230000000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2022-04-11,,19.379999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2022-04-12,,16.04000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2022-04-12,,17.089999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2022-04-13,,19.44999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2022-04-13,,18.399999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2022-04-14,,2.589999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2022-04-14,,17.319999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2022-04-15,,18.29000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2022-04-15,,20.089999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
